ProgramomraadeNivaa;UtdanningstypeKode;Utdanningsprogramkode;Programomraadekode;UtdanningstypeNavn;UtdanningsprogramNavn;ProgramomraadeNavn;Trinn;År;Progresjon totalt;Overgang til studieforberedende utdanningsprogram;Overgang til påbygg;Overgang til opplæring i bedrift;Overgang til alternativt Vg3 i skole;Overgang til yrkesfaglig utdanningsprogram
2;YRK;EL;EL;Yrkesfaglig;Elektro og datateknologi;Elektro og datateknologi;Vg2;2023;83,8;0;9,8;58,3;0,8;15
3;YRK;EL;ELAUT2;Yrkesfaglig;Elektro og datateknologi;ELAUT2 - Automatisering;Vg2;2023;79,1;0;4,7;9,3;0;65,1
3;YRK;EL;ELDEL2;Yrkesfaglig;Elektro og datateknologi;ELDEL2 - Datateknologi og elektronikk;Vg2;2023;71,4;0;14,3;39,3;0;17,9
3;YRK;EL;ELELE2;Yrkesfaglig;Elektro og datateknologi;ELELE2 - Elenergi og ekom;Vg2;2023;86,7;0;10,3;71,8;1;3,6
2;YRK;FD;FD;Yrkesfaglig;Frisør, blomster, interiør og eksponeringsdesign;Frisør, blomster, interiør og eksponeringsdesign;Vg2;2023;70,2;0;17,9;32,1;1,2;19
3;YRK;FD;FDBLD2;Yrkesfaglig;Frisør, blomster, interiør og eksponeringsdesign;FDBLD2 - Blomsterdekoratør;Vg2;2023;66,7;0;0;66,7;0;0
3;YRK;FD;FDFRI2;Yrkesfaglig;Frisør, blomster, interiør og eksponeringsdesign;FDFRI2 - Frisør;Vg2;2023;70,5;0;15,9;50;2,3;2,3
3;YRK;FD;FDIED2;Yrkesfaglig;Frisør, blomster, interiør og eksponeringsdesign;FDIED2 - Interiør og eksponeringsdesign;Vg2;2023;70,6;0;23,5;2,9;0;44,1
2;YRK;HS;HS;Yrkesfaglig;Helse- og oppvekstfag;Helse- og oppvekstfag;Vg2;2023;82,7;0,1;50,4;23,6;0,3;8,3
3;YRK;HS;HSAMB2;Yrkesfaglig;Helse- og oppvekstfag;HSAMB2 - Ambulansefag;Vg2;2023;96,8;0;29;67,7;0;0
3;YRK;HS;HSBUA2;Yrkesfaglig;Helse- og oppvekstfag;HSBUA2 - Barne- og ungdomsarbeiderfag;Vg2;2023;80,4;0;54,6;24,4;0,7;0,7
3;YRK;HS;HSHEA2;Yrkesfaglig;Helse- og oppvekstfag;HSHEA2 - Helsearbeiderfag;Vg2;2023;83;0,3;56,7;25,3;0;0,6
3;YRK;HS;HSHES2;Yrkesfaglig;Helse- og oppvekstfag;HSHES2 - Helseservicefag;Vg2;2023;83,2;0;24,2;1,1;0;57,9
2;YRK;IM;IM;Yrkesfaglig;Informasjonsteknologi og medieproduksjon;Informasjonsteknologi og medieproduksjon;Vg2;2023;83,7;0;12,8;65,1;5,8;0
3;YRK;IM;IMITK2;Yrkesfaglig;Informasjonsteknologi og medieproduksjon;IMITK2 - Informasjonsteknologi;Vg2;2023;88,6;0;5,7;75,7;7,1;0
3;YRK;IM;IMMED2;Yrkesfaglig;Informasjonsteknologi og medieproduksjon;IMMED2 - Medieproduksjon;Vg2;2023;62,5;0;43,8;18,8;0;0
2;YRK;NA;NA;Yrkesfaglig;Naturbruk;Naturbruk;Vg2;2023;68,5;0;46,7;20,7;0;1,1
3;YRK;NA;NAHDF2;Yrkesfaglig;Naturbruk;NAHDF2 - Heste- og dyrefag;Vg2;2023;82,6;0;63;17,4;0;2,2
3;YRK;NA;NALGA2;Yrkesfaglig;Naturbruk;NALGA2 - Landbruk og gartnernæring;Vg2;2023;48,1;0;22,2;25,9;0;0
3;YRK;NA;NASBR2;Yrkesfaglig;Naturbruk;NASBR2 - Skogbruk;Vg2;2023;63,2;0;42,1;21,1;0;0
2;YRK;RM;RM;Yrkesfaglig;Restaurant- og matfag;Restaurant- og matfag;Vg2;2023;65,8;0;10,5;52,6;0;2,6
3;YRK;RM;RMBAK2;Yrkesfaglig;Restaurant- og matfag;RMBAK2 - Baker og konditor;Vg2;2023;69,2;0;7,7;61,5;0;0
3;YRK;RM;RMKOS2;Yrkesfaglig;Restaurant- og matfag;RMKOS2 - Kokk- og servitørfag;Vg2;2023;65,1;0;11,1;50,8;0;3,2
