EnhetNivaa;Nasjonaltkode;Fylkekode;Organisasjonsnummer;Nasjonalt;Fylke;EnhetNavn;Utdanningsprogram;Trinn;År;Progresjon totalt;Overgang til studieforberedende utdanningsprogram;Overgang til opplæring i bedrift;Overgang til yrkesfaglig utdanningsprogram
3;I;38;974575086;Hele landet;Vestfold og Telemark;Færder videregående skole;Yrkesfag;Vg1;2019;84,9;0;5,9;78,9
3;I;38;990745277;Hele landet;Vestfold og Telemark;Gjennestad videregående skole;Yrkesfag;Vg1;2019;89,1;1,6;0;87,5
3;I;38;974574993;Hele landet;Vestfold og Telemark;Greveskogen videregående skole;Yrkesfag;Vg1;2019;61,5;0,7;4,2;56,6
3;I;38;874575062;Hele landet;Vestfold og Telemark;Holmestrand videregående skole;Yrkesfag;Vg1;2019;80,6;1,6;4,8;74,2
3;I;38;974575051;Hele landet;Vestfold og Telemark;Melsom videregående skole;Yrkesfag;Vg1;2019;82,7;0;13,3;69,3
3;I;38;974575000;Hele landet;Vestfold og Telemark;Nøtterøy videregående skole;Yrkesfag;Vg1;2019;82,8;0;0;82,8
3;I;38;874575232;Hele landet;Vestfold og Telemark;Re videregående skole;Yrkesfag;Vg1;2019;91,9;0,8;6,5;84,7
3;I;38;974575116;Hele landet;Vestfold og Telemark;Sande videregående skole;Yrkesfag;Vg1;2019;87,6;0;2,1;85,6
3;I;38;974575019;Hele landet;Vestfold og Telemark;Sandefjord videregående skole;Yrkesfag;Vg1;2019;79,7;0,5;5,9;73,3
3;I;38;974575027;Hele landet;Vestfold og Telemark;Thor Heyerdahl videregående skole;Yrkesfag;Vg1;2019;84,5;0,3;1,4;82,8
1;I;;I;Hele landet;Alle fylker;Hele landet;Yrkesfag;Vg1;2020;83,5;0,4;2;81,1
2;I;38;38;Hele landet;Vestfold og Telemark;Vestfold og Telemark;Yrkesfag;Vg1;2020;83,3;0,3;3,2;79,8
3;I;38;974575086;Hele landet;Vestfold og Telemark;Færder videregående skole;Yrkesfag;Vg1;2020;84,1;1;4,3;78,7
3;I;38;990745277;Hele landet;Vestfold og Telemark;Gjennestad videregående skole;Yrkesfag;Vg1;2020;87,5;0;2,1;85,4
3;I;38;974574993;Hele landet;Vestfold og Telemark;Greveskogen videregående skole;Yrkesfag;Vg1;2020;70,7;2;4,8;63,9
3;I;38;874575062;Hele landet;Vestfold og Telemark;Holmestrand videregående skole;Yrkesfag;Vg1;2020;87,3;0;8,5;78,9
3;I;38;923261354;Hele landet;Vestfold og Telemark;Horten videregående skole;Yrkesfag;Vg1;2020;78,5;0,4;2,5;75,5
3;I;38;974575051;Hele landet;Vestfold og Telemark;Melsom videregående skole;Yrkesfag;Vg1;2020;86,4;0;19,7;66,7
3;I;38;974575000;Hele landet;Vestfold og Telemark;Nøtterøy videregående skole;Yrkesfag;Vg1;2020;81,9;0;0;81,9
3;I;38;874575232;Hele landet;Vestfold og Telemark;Re videregående skole;Yrkesfag;Vg1;2020;89,2;0,7;3,6;84,9
3;I;38;974575116;Hele landet;Vestfold og Telemark;Sande videregående skole;Yrkesfag;Vg1;2020;90,8;1,1;4,6;85,1
3;I;38;974575019;Hele landet;Vestfold og Telemark;Sandefjord videregående skole;Yrkesfag;Vg1;2020;79,7;0,5;6,8;72,4
3;I;38;974575027;Hele landet;Vestfold og Telemark;Thor Heyerdahl videregående skole;Yrkesfag;Vg1;2020;84,1;0;1,4;82,7
1;I;;I;Hele landet;Alle fylker;Hele landet;Yrkesfag;Vg1;2021;84,1;0,4;2,3;81,5
2;I;38;38;Hele landet;Vestfold og Telemark;Vestfold og Telemark;Yrkesfag;Vg1;2021;82;0,3;3,5;78,3
3;I;38;974575086;Hele landet;Vestfold og Telemark;Færder videregående skole;Yrkesfag;Vg1;2021;78,5;0;3,8;74,6
3;I;38;990745277;Hele landet;Vestfold og Telemark;Gjennestad videregående skole;Yrkesfag;Vg1;2021;94,6;0;0;94,6
3;I;38;974574993;Hele landet;Vestfold og Telemark;Greveskogen videregående skole;Yrkesfag;Vg1;2021;70,1;0,7;1,4;68,1
3;I;38;874575062;Hele landet;Vestfold og Telemark;Holmestrand videregående skole;Yrkesfag;Vg1;2021;91,9;0;12,9;79
3;I;38;923261354;Hele landet;Vestfold og Telemark;Horten videregående skole;Yrkesfag;Vg1;2021;75,5;0;2,7;72,7
3;I;38;974575051;Hele landet;Vestfold og Telemark;Melsom videregående skole;Yrkesfag;Vg1;2021;89,4;1,2;11,8;76,5
3;I;38;974575000;Hele landet;Vestfold og Telemark;Nøtterøy videregående skole;Yrkesfag;Vg1;2021;84,7;1,7;0;83,1
3;I;38;874575232;Hele landet;Vestfold og Telemark;Re videregående skole;Yrkesfag;Vg1;2021;92,8;0;8,5;84,3
3;I;38;974575116;Hele landet;Vestfold og Telemark;Sande videregående skole;Yrkesfag;Vg1;2021;91,5;0;0;91,5
3;I;38;974575019;Hele landet;Vestfold og Telemark;Sandefjord videregående skole;Yrkesfag;Vg1;2021;76,1;0,2;6,2;69,7
