Stop;StopName;Kommunenavn;Lon;Lat;PublicLineNo;Reisende;Year;Month
32127;Meum;Færder;10,410689;59,211219;1605;0,805364;2023;3
31493;Helgeroa;Larvik;9,862040;58,993667;1303;26,859608;2023;12
33413;Astoria;Færder;10,408594;59,242640;1653;7,074658;2023;1
30656;Grimestad;Færder;10,405383;59,135562;1664;10,04453;2023;8
31058;Selvik skole;Holmestrand;10,279588;59,557509;96;542,621055;2023;7
31192;Sjøholtveien;Færder;10,416529;59,110518;1576;2,498565;2023;4
33205;Kaldnes;Tønsberg;10,403509;59,263179;116A;1620,22098;2023;2
33457;Døvlehavna;Sandefjord;10,286221;59,220067;1645;3,099186;2023;12
33506;Barkost vest;Holmestrand;10,186813;59,474744;121;17,271501;2023;11
30888;Gulli Kodalveien;Sandefjord;10,170260;59,280794;150;12,715247;2023;10
32993;Tandstad;Færder;10,418667;59,233191;100;126,318775;2023;2
33976;Borgheim;Færder;10,407172;59,226693;1677;9,040077;2023;8
33769;Gjelstad;Sandefjord;10,233108;59,110521;3;4,142145;2023;7
30910;Sande torv;Holmestrand;10,207090;59,587323;96;532,265691;2023;7
32064;Skoger stasjon;Holmestrand;10,243781;59,672557;1831;8,744977;2023;4
31313;Haugland;Larvik;10,021902;59,174569;1362;46,223448;2023;4
33858;Glanutveien;Tønsberg;10,367272;59,254382;130;162,857263;2023;2
33070;Teie veidele;Færder;10,414795;59,255109;1677;2,021331;2023;1
33864;Glenne;Færder;10,390135;59,142234;22;7,074658;2023;1
31862;Øhrebekken;Færder;10,428802;59,235015;113B;17,604118;2023;7
32120;Kjelle;Tønsberg;10,403776;59,279683;121;9,319827;2023;7
